Agency,Parent CN ID,CN ID,Publish Date,Amendment Date,Status,StartDate,EndDate,Value,Description,Agency Ref. ID,Category,Procurement Method,ATM ID,SON ID,Confidentiality - Contract,Confidentiality - Contract Reason(s),Confidentiality - Outputs,Confidentiality - Outputs Reason(s),Consultancy,Consultancy Reason(s),Amendment Reason,Supplier Name,Supplier Address,Supplier City,Supplier Postcode,Supplier Country,Supplier ABNExempt,Supplier ABN,Agency Branch,Agency Divison,Agency Postcode
National Archives of Australia,,CN1120052,2013-01-02, ,published,2013-01-14,2014-01-14,10000.00,Updating of the Workplanning and Reporting Tool,POC10341-PO1200089,Business intelligence consulting services,Limited tender,,,No,,No,,Yes,Skills currently unavailable within agency,,STLP Pty Ltd,13 Dianella Street,O'Connor,2602,Australia,No,31128389408,Corporate Services,National Archives,2600
National Archives of Australia,,CN1120072,2013-01-02, ,published,2012-12-07,2013-02-28,16666.40,16 x Erin Tables with parchment colour tabletops,POC10336-PO1200084,Office furniture,Limited tender,,,No,,No,,No,,,Ninetwofive Interiors Pty Ltd,"Unit 4B, 103 Tennant Street",Fyshwick,2609,Australia,No,22106912574,Corporate Services,National Archives,2600
National Archives of Australia,,CN1120092,2013-01-02, ,published,2012-12-01,2014-11-30,21800.00,Gas supply to East Victoria Park,POC10339-PO1200087,Utilities,Limited tender,,,No,,No,,No,,,Synergy,GPO Box K851,Perth,6842,Australia,No,71743446839,Corporate Services,National Archives,2600
Department of Foreign Affairs and Trade,,CN1120112,2013-01-02, ,published,2012-10-01,2013-09-30,156984.00,Provision of Business Administration Services,CN011012-IMDISB0296,Business administration services,Limited tender,,,No,,No,,No,,,NOVA TOPSTAGE PTY LIMITED,Po Box 885,Fyshwick,2609,Australia,No,86081481281,FMB,CMD,221
Department of Foreign Affairs and Trade,,CN1120122,2013-01-02, ,published,2012-12-19,2013-01-30,21400.00,Provision of Computer Equipment and Accessories,CN191212-IMDIDB0036,Computer Equipment and Accessories,Limited tender,,,No,,No,,No,,,ALEXANDER MACHINE & TOOL CO. INC.,"470 Wildwood Avenue, Unit 5",Woburn Ma 01801,0,UNITED STATES,Yes,,FMB,CMD,221
Department of Foreign Affairs and Trade,,CN1120142,2013-01-02, ,published,2012-11-05,2012-11-09,17162.00,Provision of Education and Training Services,CN051112-CMDSFB0316,Education and Training Services,Limited tender,,,No,,No,,No,,,CENTRE FOR PUBLIC MANAGEMENT PTY LTD,5-7 Lawry Pl,Macquarie,2614,Australia,Yes,,FMB,CMD,221
"Department of Sustainability, Environment, Water, Population and Communities - Australian Antarctic Division",,CN1120172,2013-01-02, ,published,2012-12-03,2012-12-31,39762.93,Vaisala CL31 Ceilometer,45077192,Air transportation support systems and equipment,Limited tender,45077192,,No,,No,,No,,,VAISALA PTY LTD,PO BOX 619,HAWTHORN,3122,Australia,No,58006500616,AAD Support Centre,Australian Antarctic Division,7050
"Department of Sustainability, Environment, Water, Population and Communities - Australian Antarctic Division",,CN1120232,2013-01-02, ,published,2012-12-12,2012-12-13,14678.40,Legal support for Contract Drafting,45077262,Legal services,Limited tender,45077262,,No,,No,,No,,,Minter Ellison,GPO BOX 369,CANBERRA,2601,Australia,No,91556716819,AAD Support Centre,Australian Antarctic Division,7050
"Department of Sustainability, Environment, Water, Population and Communities - Australian Antarctic Division",,CN1120252,2013-01-02, ,published,2012-12-12,2012-12-15,13229.70,Blasting equipment,45077269,Construction and maintenance support equipment,Limited tender,45077269,,No,,No,,No,,,Forze Explosive Services,PO Box 231,Margate,7054,Australia,No,18090534740,AAD Support Centre,Australian Antarctic Division,7050
"Department of Sustainability, Environment, Water, Population and Communities - Australian Antarctic Division",,CN1120272,2013-01-02, ,published,2012-12-12,2012-12-31,22060.50,5 x Interacoustics AS608e manual/automatic screeni,45077275,Medical Equipment and Accessories and Supplies,Limited tender,45077275,,No,,No,,No,,,The Trustee for GR Johnson Trust,Po Box 79,Floreat,6014,Australia,No,60323401472,AAD Support Centre,Australian Antarctic Division,7050
"Department of Sustainability, Environment, Water, Population and Communities - Australian Antarctic Division",,CN1120292,2013-01-02, ,published,2012-12-14,2012-12-21,20752.38,3 Dunlite DGUH16E-3S-2 generator sets.,45077289,Power generation,Limited tender,45077289,,No,,No,,No,,,Glasgow Engineering Sales Pty Ltd,60 Wlliams St,Launceston,7250,Australia,No,22685712617,AAD Support Centre,Australian Antarctic Division,7050
"Department of Sustainability, Environment, Water, Population and Communities - Australian Antarctic Division",,CN1120382,2013-01-02, ,published,2012-12-19,2013-12-31,25190.50,Scientific journals - electronic database,45077317,Online database information retrieval systems,Limited tender,45077317,,No,,No,,No,,,DA Information Services P/L,648 WHITEHORSE ROAD,MITCHAM,3132,Australia,No,25006414688,AAD Support Centre,Australian Antarctic Division,7050
"Department of Sustainability, Environment, Water, Population and Communities - Australian Antarctic Division",,CN1120392,2013-01-02, ,published,2012-12-20,2012-12-21,17622.00,Service and repair Polymobil X-ray machine,45077326,Medical Equipment and Accessories and Supplies,Limited tender,45077326,,No,,No,,No,,,Siemens Ltd,160 Herring Rd,Macquarie Park,2113,Australia,No,98004347880,AAD Support Centre,Australian Antarctic Division,7050
"Department of Sustainability, Environment, Water, Population and Communities - Australian Antarctic Division",,CN1120402,2013-01-02, ,published,2012-12-20,2013-06-30,150000.00,Radarsat Antarctic Sea Ice Imagery,45077327,Printed publications,Limited tender,45077327,,No,,No,,No,,,British Antarctic Survey,"High Cross, Madingley Road, Cambrid",Broome,6725,Australia,Yes,,AAD Support Centre,Australian Antarctic Division,7050
Defence Materiel Organisation,,CN1120412,2013-01-02, ,published,2012-12-19,2013-03-27,18504.75," Cables Assemblies, Electrical, used with in military communication equipment ",,Electrical wire and cable and harness,Limited tender,,,No,,No,,No,,,Markerry Industries,,CARRUM DOWNS,3201,AUSTRALIA,No,85005996636,,,3006
Australian Securities and Investments Commission,,CN1120432,2013-01-02, ,published,2013-01-01,2013-12-31,38060.00, Data Analysis Electronic Research Service  2012-03387 ,5177,Information technology consultation services,Limited tender,,,No,,No,,No,,,MorningStar Australasia Pty Ltd,Reply Paid 78619 Royal Exchange,Sydney,1224,AUSTRALIA,No,95090665544,,,2000
Australian Communications and Media Authority (ACMA),,CN1120442,2013-01-02, ,published,2012-12-13,2013-02-06,11230.00, Technical Production and Broadcast of Three Hour Internet Streamed Radio Program ,PO13311,Components for information technology or broadcasting or telecommunications,Limited tender,12ACMA284,,No,,No,,No,,,Anderton Tiger LLP,PO Box 101,BRACKLEY,NN135YE,UNITED KINGDOM,Yes,,Finance and Facilities,Corporate Services & Coordination,2616
Department of Education Employment and Workplace Relations,CN461368,CN461368-A1,2012-01-31,2013-01-02,published,2011-12-20,2012-12-31,60900.00, Assistance with preparation of a generic and agency specific Deed of Agreements to provide access to Australian Early Development Index demographic and analytical data ,CRN84862,Management support services,Limited tender,PRN27867,,No,,No,,No,,Amended end date,Australian Bureau of Statistics,"ABS House,  45 Benjamin Way",Belconnen,2616,AUSTRALIA,No,26331428522,Early Childhood and Child Care Programs,Early Learning and Care Support,2601
Department of Education Employment and Workplace Relations,CN451865,CN451865-A2,2011-12-13,2013-01-02,published,2011-06-28,2013-06-28,2870000.00, VOIP ISDN voice services ,CRN84749,Data services,Limited tender,PRN27638,SON332838,No,,No,,No,,Amended end date and value,Telstra Corporation Limited,"Level 3, 320 Pitt Street",Sydney,2000,AUSTRALIA,No,33051775556,Business Enabling Branch,Technology Solutions Group,2601
Australian Communications and Media Authority (ACMA),,CN1120482,2013-01-02, ,published,2013-02-28,2014-02-27,128891.03, Annual Subscription and Support for Oracle Licences ,PO13312,Software maintenance and support,Limited tender,12ACMA280,,No,,No,,No,,,Oracle Corporation Australia Pty Limited,GPO Box 1313,SYDNEY,2001,AUSTRALIA,No,80003074468,Finance and Facilities,Corporate Services & Coordination,2616
Department of Education Employment and Workplace Relations,CN931971,CN931971-A1,2012-09-27,2013-01-02,published,2012-09-18,2013-06-30,31185.00, Provision of Insolvency Services ,GCRN926650,Public administration and finance services,Limited tender,GPRN926650,,No,,No,,No,,Amended value,PPB (MLC Centre),"Level 46, 19 Mlc Centre, 29 Martin Place",Sydney,2000,AUSTRALIA,No,67972164718,Employee Entitlements Branch,WORKPLACE RELATIONS IMPLEMENTATION AND SAFETY GROUP,2601
Climate Change Authority,,CN1120562,2013-01-02, ,published,2012-08-27,2012-10-31,120000.00, Modelling the Renewable Energy Target ,STD-000007-0,Strategic planning consultation services,Limited tender,,,No,,No,,No,,,Sinclair KNight Merz Pty Ltd,PO BOx 952,Bendigo,3552,AUSTRALIA,No,37001024095,,,2601
Climate Change Authority,,CN1120572,2013-01-02, ,published,2012-08-15,2013-06-30,22000.00, Green Electricity ,STD-000029-0,Electric utilities,Limited tender,,,No,,No,,No,,,Momentum Energy Pty Ltd,GPO Locked Bag 2930,Melbourne,3000,AUSTRALIA,No,42100569159,,,2601
Office of National Assessments,,CN1120582,2013-01-04, ,published,2012-12-04,2012-12-31,26400.00, EDRMS review ,PF 12/133    PO PZ000187,Feasibility studies or screening of project ideas,Limited tender,,,No,,No,,No,,,Callida Consulting,,Kingston,2604,AUSTRALIA,No,40154007664,,,2600
Australian Securities and Investments Commission,CN463955,CN463955-A1,2012-02-10,2013-01-02,published,2012-01-12,2014-01-10,2378156.12, Siebel Licence 2012-2014 ,5201 / 1939,Software maintenance and support,Limited tender,,,No,,No,,No,,"$1,206,650.64 added as fourth instalment of agreement.  LM",Oracle,,Sydney,2000,AUSTRALIA,No,19063655774,,,2000
Australian Securities and Investments Commission,,CN1120612,2013-01-02, ,published,2012-12-13,2013-06-30,22000.00, Cost Assessor.  ISP 2012/29915 ,5199,Legal services,Limited tender,,,Yes,Statutory secrecy provisions,Yes,Other - Legal Privilege,No,,,DG Thompson Pty Limited,,Manly,2095,AUSTRALIA,No,28003648557,,,2000
National Capital Authority,,CN1120622,2013-01-02, ,published,2012-11-05,2013-01-30,40040.00, Preparation of Dam Safety Management Plan and Safety and Surveillance Specifications ,C12/106,Management and provision of all facilities engineering modification and maintenance services for a site or platform,Limited tender,,,No,,No,,Yes,Need for specialised or professional skills,,Australian Dams & Water Consultants Pty Ltd,,Shepparton,3630,AUSTRALIA,No,21149395040,,,2600
National Capital Authority,,CN1120652,2013-01-02, ,published,2012-12-12,2013-04-30,15221.25, Price Waterhouse Coopers - Review of Accounts Payable Audit ,C12/130,Audit services,Limited tender,,,No,,No,,Yes,Need for independent research or assessment,,PricewaterhouseCoopers,,Barton,2603,AUSTRALIA,No,52780433757,,,2600
Department of Finance and Deregulation,CN467095,CN467095-A1,2012-02-24,2013-01-03,published,2012-02-13,2012-06-21,162855.00, Labour hire agreement for the travel services project ,2200001693,Temporary personnel services,Limited tender,,,No,,No,,No,,Change of contract end date,Outsourced Client Management Pty Lt,35 Westbourne Road,KENSINGTON,3031,AUSTRALIA,No,63128978049,Financial Services Branch,Chief Financial Officer Division,2600
Department of Finance and Deregulation,CN467095,CN467095-A2,2012-02-24,2013-01-03,published,2012-02-13,2013-06-21,162855.00, Labour hire agreement for the travel services project ,2200001693,Temporary personnel services,Limited tender,,,No,,No,,No,,Correction to contract end date,Outsourced Client Management Pty Lt,35 Westbourne Road,KENSINGTON,3031,AUSTRALIA,No,63128978049,Financial Services Branch,Chief Financial Officer Division,2600
Defence Materiel Organisation,CN951811,CN951811-A1,2012-10-09,2013-01-03,published,2012-07-16,2013-06-30,124515.60, External Gate Review Board Member ,4500860379,Management advisory services,Limited tender,,,No,,No,,No,,Increase to PO,METIS BUSINESS CONSULTING,6 MERA GROVE,BUDERIM,4556,AUSTRALIA,No,29690335707,DMO,Australian Capital Territory,2601
Defence Materiel Organisation,CN1079882,CN1079882-A1,2012-12-10,2013-01-03,published,2012-12-10,2013-01-10,18414.00," INSPECT,  PREPARE QUOTE AND REPAIR OF THE TRANSPORT LUGGAGE CONVEYOR.  AMENDMENT DUE TO THE REAPIR QUOTE ",GA0PNI,Aerospace systems and components and equipment,Limited tender,,,No,,No,,No,,DUE TO THE REPAIR COST,BROENS SA PTY LTD,6 OLDHAM RD,ELIZABETH SOUTH,5112,AUSTRALIA,No,28151571514,AMM,AMSPO,3027
Defence Materiel Organisation,CN760171,CN760171-A1,2012-07-24,2013-01-03,published,2012-07-12,2013-12-31,66624.30, Procure workstands ,4500863129,Military rotary wing aircraft,Limited tender,,,No,,No,,No,,Price change,BAE SYSTEMS AUSTRALIA LTD (AIMS),PO Box 7725,GARBUTT,4814,AUSTRALIA,No,29008423005,Army Aviation SPO,Australian Capital Territory,4401
Defence Materiel Organisation,CN683241,CN683241-A1,2012-07-03,2013-01-03,published,2012-06-22,2013-06-30,72968.92, External Gate Review Board Member ,4500860395,Management advisory services,Limited tender,,,No,,No,,No,,Reduction to PO,JOHNSON ADVISORY SERVICES,42 SKIPJACK REACH,TUROSS HEAD,2537,AUSTRALIA,No,43151945434,DMO,Australian Capital Territory,2601
Defence Materiel Organisation,CN711401,CN711401-A1,2012-07-10,2013-01-03,published,2012-06-26,2013-06-30,85327.42, External Gate Review Board Member ,4500860712,Management advisory services,Limited tender,,,No,,No,,No,,Increase to PO,ASSURITAS PTY LTD,PO Box 27,AVALON,2107,AUSTRALIA,No,87152157830,DMO,Australian Capital Territory,2601
Defence Materiel Organisation,CN760171,CN760171-A2,2012-07-24,2013-01-03,published,2012-07-12,2013-12-31,322461.68, Procure workstands ,4500863129,Military rotary wing aircraft,Limited tender,,,No,,No,,No,,incorrect pricing,BAE SYSTEMS AUSTRALIA LTD (AIMS),PO Box 7725,GARBUTT,4814,AUSTRALIA,No,29008423005,Army Aviation SPO,Australian Capital Territory,4401
AusAid,CN440074,CN440074-A1,2011-11-22,2013-01-03,published,2011-09-16,2012-12-31,161292.86, Corporate Services - Media Production ,D00191,Components for information technology or broadcasting or telecommunications,Limited tender,,,No,,No,,No,,Value and duration,Nei Tabera Ni Kai Society,,TARAWA,,KIRIBATI,Yes,,,,2601
AusAid,CN544242,CN544242-A1,2012-07-11,2013-01-03,published,2012-03-05,2012-12-31,120000.00, Corporate Services &ndash; Recruitment ,D1004,Human resources services,Limited tender,,,No,,No,,No,,Value,SRI EXECUTIVE SEARCH,,Dublin,,IRELAND,Yes,,,,2601
AusAid,CN545132,CN545132-A1,2012-07-11,2013-01-03,published,2012-04-16,2012-06-08,65348.00, Review of gender training modules ,D337892/1,Education and Training Services,Limited tender,,,No,,No,,No,,Value change,UNIVERSITY OF QUEENSLAND,,BRISBANE,4000,AUSTRALIA,No,63942912684,,,2601
AusAid,CN617161,CN617161-A1,2012-07-11,2013-01-03,published,2012-05-23,2012-12-28,48348.30, Corporate Services - Office Fitout (USA) ,D1103,Office furniture,Limited tender,,,No,,No,,No,,Value and duration,Schiavello (Vic) Pty Ltd,,Melbourne,3043,AUSTRALIA,No,81006778641,,,2601
Department of Human Services,,CN1120922,2013-01-03, ,published,2012-03-27,2012-06-30,17468.55, Contribution to the Disaster Recovery Subcomittee ,8100004032,Management advisory services,Limited tender,,,No,,No,,No,,,Department of Communities (Housing and Homelessness Services),GPO Box 690,Brisbane,4001,AUSTRALIA,No,86504771740,People Development,,2900
Defence Materiel Organisation,,CN1120952,2013-01-03, ,published,2013-01-02,2013-01-18,10946.76, COMPUTER PRINTERS ,DNLMZH,Computer printers,Limited tender,,,No,,No,,No,,,HEWLETT PACKARD,,CONCORD,2137,AUSTRALIA,No,74004394763,,,2600
AusAid,CN940641,CN940641-A1,2012-11-15,2013-01-03,published,2012-07-23,2012-11-30,49500.00, Corporate Services - Specialist to review the Employee Benefits scheme ,D1201,Management advisory services,Limited tender,,,No,,No,,Yes,Need for independent research or assessment,Value and duration,Pricewaterhouse Coopers,,Canberra,2603,AUSTRALIA,No,52780433757,,,2601
Australian Securities and Investments Commission,CN812221,CN812221-A1,2012-08-10,2013-01-03,published,2012-07-01,2013-03-31,70000.00, Recruitment services and extension ,4081,Personnel recruitment,Limited tender,,,No,,No,,No,,"$24,000 added for extension until end of March",GBS Recruitment Pty Ltd,,Traralgon,3844,AUSTRALIA,No,32069608528,,,2000
Australian Office of Financial Management,CN369392,CN369392-A2,2011-03-01,2013-01-03,published,2007-02-14,2014-02-13,290403.00, Subscriptions to Standard & Poor's Credit Rating Services ,,Electronic reference material,Limited tender,,,No,,Yes,Intellectual property,No,,"Contract extended, value increased",Standard & Poor's Financial Services,,"Chicago, IL",60693,UNITED STATES,Yes,,,,2600
Australian Public Service Commission,,CN1121122,2013-01-03, ,published,2012-11-02,2012-12-19,13801.00,Catering costs,20130293,Banquet and catering services,Limited tender,,,No,,No,,No,,,Hotel Realm Pty Ltd,PO Box 5419,Kingston,2604,Australia,No,85121835087,APS Commission - Programmes,Programmes,2606
Australian Public Service Commission,,CN1121212,2013-01-03, ,published,2012-12-18,2013-11-08,69399.99,"Provision of Facilitator Services -AGLN Conference in 6 states, including travel costs",20130396,Education and Training Services,Limited tender,,,No,,No,,No,,,Centre for Leadership Pty Ltd,PO Box 44,Avalon,2107,Australia,No,72063525575,APS Commission - Corporate,Corporate,3000
Australian Public Service Commission,,CN1121222,2013-01-03, ,published,2012-12-20,2013-03-30,38940.00,Review of Financial Management Frameworks,20130398,Management advisory services,Limited tender,,,No,,No,,Yes,Need for independent research or assessment,,Resolution Consulting Services P/L,PO Box  158,Dickson,2602,Australia,No,64081965648,APS Commission - Corporate,Corporate,2606
Australian Securities and Investments Commission,,CN1121362,2013-01-03, ,published,2012-12-17,2013-03-01,18315.00, External Training - Financial Literacy Offsite ,5176,Education and Training Services,Limited tender,,,No,,No,,No,,,Novotel Sydney Manly Pacific,55 North Steyne,Manly,2095,AUSTRALIA,No,38035457281,,,2000
